mapblklot,analysis_neighborhood,Historic,in_historic_district
7028A011,Outer Mission,0,0
4759005,Bayview Hunters Point,0,0
6411028,Excelsior,0,0
6191062,Visitacion Valley,0,0
7102025,Outer Mission,0,0
6594036,Noe Valley,0,0
4150006,Mission,1,1
3609007,Mission,0,0
0209016,Chinatown,1,1
5966028,Excelsior,0,0
5688010,Bernal Heights,0,0
4334003E,Mission,0,0
5855009,Portola,0,0
6405003,Excelsior,0,0
6078045,Excelsior,0,0
7106042A,Oceanview/Merced/Ingleside,0,0
6994022,Oceanview/Merced/Ingleside,0,0
3596059,Mission,1,1
5650027,Bernal Heights,0,0
6795A005,Outer Mission,0,0
6128007,Portola,0,0
6308004E,Visitacion Valley,0,0
5729029,Bernal Heights,0,0
0131026,Chinatown,0,0
5428D045,Bayview Hunters Point,0,0
3732233,South of Market,0,0
6659004,Glen Park,0,0
6954014B,Outer Mission,0,0
5458011,Portola,0,0
4937010,Bayview Hunters Point,0,0
3776117,South of Market,0,0
5468004,Bayview Hunters Point,0,0
5839023,Bernal Heights,0,0
0675025,Pacific Heights,0,0
3519005,South of Market,1,1
7054039,Oceanview/Merced/Ingleside,0,0
7017015,Oceanview/Merced/Ingleside,0,0
6466014A,Excelsior,0,0
5934040,Portola,0,0
4098028,Potrero Hill,0,0
0137001,Financial District/South Beach,1,1
5862A020,Portola,0,0
5338017,Bayview Hunters Point,0,0
7096C012,Outer Mission,0,0
6082048,Excelsior,0,0
6989001,Oceanview/Merced/Ingleside,0,0
5072042,Bayview Hunters Point,1,1
5835053,Bernal Heights,0,0
6720068,Bernal Heights,0,0
5943007,Excelsior,0,0
6997037,Oceanview/Merced/Ingleside,0,0
6796020,Outer Mission,0,0
6048024,Portola,0,0
7057004,Oceanview/Merced/Ingleside,0,0
5896014,Excelsior,0,0
7056037,Oceanview/Merced/Ingleside,0,0
5665034,Bernal Heights,0,0
5736014A,Bernal Heights,0,0
5803015,Bernal Heights,0,0
7097045,Outer Mission,0,0
0688002,Japantown,0,0
4161047,Potrero Hill,0,0
4991124,Bayview Hunters Point,0,0
4968001,Bayview Hunters Point,0,0
7094027,Oceanview/Merced/Ingleside,0,0
5437041,Portola,0,0
7036013,Oceanview/Merced/Ingleside,0,0
5730023,Bernal Heights,0,0
3708055,Financial District/South Beach,0,0
6803015,Outer Mission,0,0
5634001,Bernal Heights,0,0
6238046,Visitacion Valley,0,0
3721052,Financial District/South Beach,0,0
6449019,Excelsior,0,0
4790016,Bayview Hunters Point,0,0
5712001,Bernal Heights,0,0
3548026,Mission,0,0
5520044,Bernal Heights,0,0
0210039,Chinatown,1,1
5653007,Bernal Heights,0,0
7049011,Oceanview/Merced/Ingleside,0,0
7109024,Outer Mission,0,0
7381002,Lakeshore,0,0
6080030,Excelsior,0,0
6795D023,Outer Mission,0,0
7032A051,Outer Mission,0,0
0039008A,North Beach,0,0
3755136,South of Market,0,0
6415033,Excelsior,0,0
6396015,Excelsior,0,0
5295014,Bayview Hunters Point,0,0
6473003C,Excelsior,0,0
3199017,West of Twin Peaks,0,0
6176014,Visitacion Valley,0,0
6358019,Visitacion Valley,0,0
4993019,Bayview Hunters Point,0,0
4075037,Potrero Hill,0,0
4099032,Potrero Hill,0,0
6474014B,Excelsior,0,0
7105035,Oceanview/Merced/Ingleside,0,0
0665011,Western Addition,0,0
5532012,Bernal Heights,0,0
6418012,Excelsior,0,0
5501064,Bernal Heights,0,0
6121025,Portola,0,0
7050020,Oceanview/Merced/Ingleside,0,0
5746013,Bernal Heights,0,0
5615022,Bernal Heights,0,0
6198039,Visitacion Valley,0,0
0151083,Nob Hill,0,0
0316010,Tenderloin,1,1
6597003,Bernal Heights,0,0
5082017,Bayview Hunters Point,1,1
3206016,Outer Mission,0,0
3588081,Mission,1,1
5543013,Bernal Heights,0,0
4787013B,Bayview Hunters Point,0,0
3729005,South of Market,1,1
5015010,Bayview Hunters Point,0,0
5322022,Bayview Hunters Point,0,0
4207021A,Mission,0,0
4810011,Bayview Hunters Point,0,0
4991ROWB,Bayview Hunters Point,0,0
5935031,Excelsior,0,0
5815029,Bernal Heights,0,0
3588100,Mission,0,0
6970001C,Outer Mission,0,0
6660012,Bernal Heights,0,0
6004013,Excelsior,0,0
0662024,Pacific Heights,1,1
4991264,Bayview Hunters Point,0,0
5940027,Excelsior,0,0
7077021,Oceanview/Merced/Ingleside,0,0
6318026,Visitacion Valley,0,0
6021028,Excelsior,0,0
5670003,Bernal Heights,0,0
5894039,Excelsior,0,0
6351008,Excelsior,0,0
5691048,Bernal Heights,0,0
6795A009,Outer Mission,0,0
4151001,Mission,0,0
7134020,Oceanview/Merced/Ingleside,0,0
7331007,Lakeshore,1,1
4116004,Potrero Hill,1,1
5920011C,Portola,0,0
3779064,South of Market,0,0
6617021,Noe Valley,0,0
0103014,North Beach,1,1
7069026D,Oceanview/Merced/Ingleside,0,0
4973039,Bayview Hunters Point,0,0
7063B006,Outer Mission,0,0
6034047,Portola,0,0
6992006,Oceanview/Merced/Ingleside,0,0
3638089,Mission,1,1
7103001,Oceanview/Merced/Ingleside,0,0
0660070,Pacific Heights,0,0
5549059,Bernal Heights,0,0
4208003,Mission,0,0
7084041,Oceanview/Merced/Ingleside,0,0
3151013,Outer Mission,0,0
7143031,Outer Mission,0,0
0659012A,Pacific Heights,0,0
6252010A,Visitacion Valley,0,0
0301015,Nob Hill,1,1
3590115,Mission,0,0
7035001B,Oceanview/Merced/Ingleside,0,0
5354042,Bayview Hunters Point,0,0
7331018,Lakeshore,1,1
5991008,Portola,0,0
6046014,Portola,0,0
3598010A,Mission,1,1
6958025,Outer Mission,0,0
5745018,Bernal Heights,0,0
0182031,Nob Hill,0,0
6052014A,Portola,0,0
4786085,Bayview Hunters Point,0,0
0773030,Western Addition,0,0
5616008,Bernal Heights,0,0
3704022,South of Market,1,1
3754045,South of Market,0,0
6011007,Excelsior,0,0
6246049,Visitacion Valley,0,0
3748031,Financial District/South Beach,0,0
4758017,Bayview Hunters Point,0,0
6112019,Portola,0,0
7096B017,Outer Mission,0,0
5981030,Portola,0,0
6490038,Excelsior,0,0
5337031,Bayview Hunters Point,0,0
0126024,Nob Hill,1,1
3504023,Mission,0,0
5574017,Bernal Heights,0,0
5532010,Bernal Heights,0,0
5279010,Bayview Hunters Point,0,0
6076026,Excelsior,0,0
6374010,Visitacion Valley,0,0
7166036,Outer Mission,0,0
5382024,Bayview Hunters Point,0,0
6720013,Bernal Heights,0,0
5323023,Bayview Hunters Point,0,0
6463053A,Excelsior,0,0
6439002,Excelsior,0,0
5721069,Bernal Heights,0,0
4087015,Mission,0,0
5961050,Excelsior,0,0
7159040,Outer Mission,0,0
6202013,Visitacion Valley,0,0
7148068,Oceanview/Merced/Ingleside,0,0
7159025,Outer Mission,0,0
0651009,Pacific Heights,0,0
0179014,Chinatown,0,0
3726055,South of Market,0,0
7059010,Oceanview/Merced/Ingleside,0,0
6409002,Excelsior,0,0
6496012,Excelsior,0,0
3779107,South of Market,0,0
5325014A,Bayview Hunters Point,0,0
6422046,Excelsior,0,0
6468A011,Excelsior,0,0
6957015,Outer Mission,0,0
0338021,Tenderloin,1,1
3703029,South of Market,1,1
6311013,Visitacion Valley,0,0
5611048,Bernal Heights,0,0
0836009,Hayes Valley,0,0
6202012,Visitacion Valley,0,0
5092022,Bayview Hunters Point,1,1
5892025,Excelsior,0,0
6307002J,Visitacion Valley,0,0
5428D048,Bayview Hunters Point,0,0
6297044,Visitacion Valley,0,0
0346022,Tenderloin,1,1
7114047,Oceanview/Merced/Ingleside,0,0
6300019,Visitacion Valley,0,0
5087003,Bayview Hunters Point,0,0
3775046,Financial District/South Beach,1,1
5924015,Portola,0,0
5354038,Bayview Hunters Point,0,0
6991015,Oceanview/Merced/Ingleside,0,0
3552014,Mission,0,0
6189062,Visitacion Valley,0,0
3648005,Mission,1,1
6576030,Noe Valley,0,0
3146034E,Outer Mission,0,0
6781018,Outer Mission,0,0
6082019,Excelsior,0,0
6472010,Excelsior,0,0
5888029,Excelsior,0,0
7141010,Outer Mission,0,0
6511026,Mission,0,0
6412024,Excelsior,0,0
6116033,Portola,0,0
6396021,Excelsior,0,0
5635001,Bernal Heights,0,0
7114002B,Oceanview/Merced/Ingleside,0,0
0180054,Chinatown,0,0
7331231,Lakeshore,1,1
4759024,Bayview Hunters Point,0,0
4829012,Bayview Hunters Point,0,0
4275018A,Mission,0,0
5903007,Excelsior,0,0
5068001D,Visitacion Valley,0,0
5575016,Bernal Heights,0,0
6356034,Visitacion Valley,0,0
6244052,Visitacion Valley,0,0
7016046,Oceanview/Merced/Ingleside,0,0
6315001,Visitacion Valley,0,0
3715006,Financial District/South Beach,0,0
6304005,Visitacion Valley,0,0
0181002,Nob Hill,0,0
4993027,Bayview Hunters Point,0,0
6470001B,Excelsior,0,0
3509041,South of Market,1,1
6024001,Excelsior,0,0
0334028,Tenderloin,1,1
6009022,Excelsior,0,0
0143028,North Beach,1,1
5661033,Bernal Heights,0,0
5738003,Bernal Heights,0,0
5660014,Bernal Heights,0,0
5812009,Bernal Heights,0,0
5319047,Bayview Hunters Point,0,0
5919005D,Portola,0,0
5403017,Bayview Hunters Point,0,0
3997004,Potrero Hill,0,0
6324002,Visitacion Valley,0,0
7103061,Oceanview/Merced/Ingleside,0,0
5672029,Bernal Heights,0,0
5996008A,Portola,0,0
5405032A,Bayview Hunters Point,0,0
5724016,Bernal Heights,0,0
5081015,Bayview Hunters Point,1,1
4063019,Potrero Hill,0,0
6971A048,Outer Mission,0,0
5326019,Bayview Hunters Point,0,0
4102007,Potrero Hill,0,0
6596002A,Bernal Heights,0,0
5739023,Bernal Heights,0,0
3525069,South of Market,0,0
7039B005,Outer Mission,0,0
5069018A,Bayview Hunters Point,1,1
6413006,Excelsior,0,0
4942023,Bayview Hunters Point,0,0
5697008,Bernal Heights,0,0
6460023,Excelsior,0,0
5719001A,Bernal Heights,0,0
0041013,North Beach,0,0
4712008,Bayview Hunters Point,0,0
0273001C,Nob Hill,0,0
6404010,Excelsior,0,0
5883019,Portola,0,0
0306012,Tenderloin,1,1
0661014,Pacific Heights,0,0
5941016,Excelsior,0,0
4282A013,Potrero Hill,0,0
4083001A,Mission,0,0
7005013,Oceanview/Merced/Ingleside,0,0
3153024,Outer Mission,0,0
6436008,Excelsior,0,0
0298034,Nob Hill,1,1
6428010,Excelsior,0,0
6074015F,Excelsior,0,0
6794013,Outer Mission,0,0
0180027,Chinatown,0,0
6996019,Oceanview/Merced/Ingleside,0,0
6050005,Portola,0,0
4942020,Bayview Hunters Point,0,0
5016011B,Bayview Hunters Point,0,0
6021035,Excelsior,0,0
7020003,Oceanview/Merced/Ingleside,0,0
5403023,Bayview Hunters Point,0,0
0348023,Tenderloin,1,1
6354008,Excelsior,0,0
0318016,Tenderloin,1,1
7120035,Oceanview/Merced/Ingleside,0,0
3211032,Outer Mission,0,0
0272016,Nob Hill,0,0
4214019,Mission,0,0
5966007A,Excelsior,0,0
5961033,Excelsior,0,0
7161047,Outer Mission,0,0
4700055,Bayview Hunters Point,0,0
6195009,Visitacion Valley,0,0
0756006,Western Addition,0,0
6284004A,Excelsior,0,0
6448008,Excelsior,0,0
6203041,Visitacion Valley,0,0
6992039,Oceanview/Merced/Ingleside,0,0
4267017,Mission,0,0
6324027,Visitacion Valley,0,0
0339015A,Tenderloin,1,1
3632015,Mission,1,1
5939011,Excelsior,0,0
5335A087,Bayview Hunters Point,0,0
7007051,Oceanview/Merced/Ingleside,0,0
6054001E,Portola,0,0
5254035,Bayview Hunters Point,0,0
6011019,Excelsior,0,0
6723009,Outer Mission,0,0
5654007,Bernal Heights,0,0
3736102,Financial District/South Beach,0,0
7147022,Oceanview/Merced/Ingleside,0,0
6954024C,Outer Mission,0,0
5720018,Bernal Heights,0,0
4207033,Mission,0,0
4214018,Mission,0,0
4913010A,Bayview Hunters Point,0,0
4067004,Potrero Hill,0,0
5081006,Bayview Hunters Point,1,1
6795C002,Outer Mission,0,0
4066020,Potrero Hill,0,0
0317012,Tenderloin,1,1
5947018,Excelsior,0,0
7084002,Oceanview/Merced/Ingleside,0,0
5918024,Portola,0,0
3150029,Outer Mission,0,0
1067064,Presidio Heights,0,0
0158043,Nob Hill,0,0
5919006D,Portola,0,0
3703012,South of Market,0,0
6003033,Excelsior,0,0
5744007,Bernal Heights,0,0
6208047,Visitacion Valley,0,0
6494016,Excelsior,0,0
3643007,Mission,0,0
5324022B,Bayview Hunters Point,0,0
5643010,Bernal Heights,0,0
7032A026,Outer Mission,0,0
5892003,Excelsior,0,0
0183002,Nob Hill,0,0
5897031,Excelsior,0,0
5955001,Excelsior,0,0
7149012,Oceanview/Merced/Ingleside,0,0
7036010,Oceanview/Merced/Ingleside,0,0
3587011,Mission,0,0
6086024,Excelsior,0,0
5514011,Bernal Heights,0,0
3519024,South of Market,1,1
5405010,Bayview Hunters Point,0,0
7381020,Lakeshore,0,0
3574074,Mission,0,0
5402057,Bayview Hunters Point,0,0
3977023,Potrero Hill,0,0
5438039,Portola,0,0
5891001B,Excelsior,0,0
6094010A,Excelsior,0,0
5946043A,Excelsior,0,0
5708001,Bernal Heights,0,0
3575016,Mission,0,0
0724033,Western Addition,0,0
6797007,Outer Mission,0,0
3609109,Mission,1,1
4711180,Bayview Hunters Point,0,0
6157023,Portola,0,0
5517057,Bernal Heights,0,0
0206014,Chinatown,0,0
6009028,Excelsior,0,0
6042044,Portola,0,0
3725086,South of Market,0,0
3727060,South of Market,1,1
7061051,Oceanview/Merced/Ingleside,0,0
6469003A,Excelsior,0,0
4010001H,Potrero Hill,0,0
5407026,Bayview Hunters Point,0,0
4096059,Potrero Hill,0,0
4072012,Potrero Hill,0,0
6356019,Visitacion Valley,0,0
4217042,Potrero Hill,0,0
5874008,Portola,0,0
6259015,Visitacion Valley,0,0
3587034,Mission,1,1
5666033,Bernal Heights,0,0
6272015B,Excelsior,0,0
6148008,Portola,0,0
6492001,Excelsior,0,0
7110B024,Outer Mission,0,0
7107029,Oceanview/Merced/Ingleside,0,0
5660002,Bernal Heights,0,0
6022033,Excelsior,0,0
4943014,Bayview Hunters Point,0,0
5835071,Bernal Heights,0,0
0151058,Nob Hill,0,0
3724071,South of Market,0,0
3965012,Mission,0,0
6089026,Excelsior,0,0
6781008,Outer Mission,0,0
7117037,Oceanview/Merced/Ingleside,0,0
0684038,Japantown,0,0
5740025,Bernal Heights,0,0
6276060,Excelsior,0,0
0091054,Russian Hill,0,0
6521005,Mission,0,0
6472002C,Excelsior,0,0
4079022,Mission,1,1
3154076,Outer Mission,0,0
6515007,Mission,0,0
5273014,Bayview Hunters Point,0,0
5387004A,Bayview Hunters Point,0,0
7042B025,Outer Mission,0,0
6168010,Visitacion Valley,0,0
3763015B,Financial District/South Beach,0,0
3548055,Mission,0,0
4107015,Potrero Hill,1,1
0338002,Tenderloin,1,1
5557011,Bernal Heights,0,0
4789004,Bayview Hunters Point,0,0
5354008,Bayview Hunters Point,0,0
3762016,South of Market,0,0
5871011,Excelsior,0,0
6279012,Excelsior,0,0
0299010,Nob Hill,1,1
4761022,Bayview Hunters Point,0,0
6967024,Outer Mission,0,0
0310013,Financial District/South Beach,1,1
3505004,Mission,0,0
4711055,Bayview Hunters Point,0,0
5465009,Bayview Hunters Point,0,0
7065046,Outer Mission,0,0
5716028,Bernal Heights,0,0
0838007,Hayes Valley,1,1
0270016,Financial District/South Beach,1,1
5527010,Bernal Heights,0,0
7125009C,Oceanview/Merced/Ingleside,0,0
5958001,Excelsior,0,0
6520031,Mission,0,0
5943014,Excelsior,0,0
5520030,Bernal Heights,0,0
6203010,Visitacion Valley,0,0
6244021,Visitacion Valley,0,0
6087037,Excelsior,0,0
5543006A,Bernal Heights,0,0
6297037,Visitacion Valley,0,0
6004039,Excelsior,0,0
5672033,Bernal Heights,0,0
6278033,Excelsior,0,0
3726094,South of Market,0,0
7173018,Outer Mission,0,0
7381062,Lakeshore,0,0
5575015,Bernal Heights,0,0
7055A027,Oceanview/Merced/Ingleside,0,0
5987010,Portola,0,0
3732137,South of Market,0,0
5888007,Excelsior,0,0
7018001B,Oceanview/Merced/Ingleside,0,0
5475005,Bayview Hunters Point,0,0
3610013,Mission,0,0
5330028,Bayview Hunters Point,0,0
6413024,Excelsior,0,0
6191053,Visitacion Valley,0,0
7115035,Oceanview/Merced/Ingleside,0,0
0710014,Western Addition,0,0
6532034,Mission,0,0
5908033,Excelsior,0,0
7100048A,Outer Mission,0,0
4076002,Potrero Hill,0,0
4731006,Bayview Hunters Point,0,0
7085021,Oceanview/Merced/Ingleside,0,0
6477014A,Excelsior,0,0
5986002,Portola,0,0
3144B025,Outer Mission,0,0
6691020,Bernal Heights,0,0
5617008,Bernal Heights,0,0
5465039,Bayview Hunters Point,0,0
6500011,Excelsior,0,0
5907039,Excelsior,0,0
4711208,Bayview Hunters Point,0,0
5378020,Bayview Hunters Point,0,0
6959022,Outer Mission,0,0
6360014,Visitacion Valley,0,0
5409015,Bayview Hunters Point,0,0
7015027,Oceanview/Merced/Ingleside,0,0
7381009,Lakeshore,0,0
4024011A,Mission,0,0
6013005B,Excelsior,0,0
3577001A,Mission,0,0
5397028,Bayview Hunters Point,0,0
7156078,Outer Mission,0,0
0194033,Chinatown,1,1
4158051,Potrero Hill,0,0
5808019,Bernal Heights,0,0
7015042,Oceanview/Merced/Ingleside,0,0
6049002,Portola,0,0
3787012,South of Market,0,0
3775102,Financial District/South Beach,1,1
3726037,South of Market,0,0
6998034,Oceanview/Merced/Ingleside,0,0
5616007,Bernal Heights,0,0
6147026,Portola,0,0
5672019A,Bernal Heights,0,0
6447038,Excelsior,0,0
5386006,Bayview Hunters Point,0,0
5357006,Bayview Hunters Point,0,0
6284001B,Excelsior,0,0
6493010B,Excelsior,0,0
4711034,Bayview Hunters Point,0,0
6346002E,Excelsior,0,0
3519070,South of Market,1,1
6526006,Mission,0,0
5255004,Bayview Hunters Point,0,0
6011032,Excelsior,0,0
3707009,Financial District/South Beach,1,1
5054A050,Bayview Hunters Point,1,1
6279029,Excelsior,0,0
5828010,Bernal Heights,0,0
5684010,Bernal Heights,0,0
5916005,Portola,0,0
4789016,Bayview Hunters Point,0,0
6374002,Visitacion Valley,0,0
6356002,Visitacion Valley,0,0
5377036,Bayview Hunters Point,0,0
4101054,Potrero Hill,0,0
4065001A,Potrero Hill,0,0
5072012,Bayview Hunters Point,1,1
6447006,Excelsior,0,0
5556026,Bernal Heights,0,0
0227009,Chinatown,0,0
7096B028,Outer Mission,0,0
6190008,Visitacion Valley,0,0
5612026,Bernal Heights,0,0
5384C011C,Bayview Hunters Point,0,0
6089001,Excelsior,0,0
5556063,Bernal Heights,0,0
5712028,Bernal Heights,0,0
7072007,Oceanview/Merced/Ingleside,0,0
0226011,Chinatown,1,1
7077028,Oceanview/Merced/Ingleside,0,0
6959017,Outer Mission,0,0
3752078,South of Market,0,0
5324008,Bayview Hunters Point,0,0
6005021,Excelsior,0,0
7170024,Outer Mission,0,0
3147010,Outer Mission,0,0
3522030,Mission,1,1
5840032,Bernal Heights,0,0
5675008A,Bernal Heights,0,0
3521004,Mission,1,1
4336007B,Mission,0,0
5577006,Bernal Heights,0,0
0209010,Chinatown,1,1
6436047,Excelsior,0,0
6084004,Excelsior,0,0
5977009,Portola,0,0
7127016,Oceanview/Merced/Ingleside,0,0
6276032,Excelsior,0,0
5992A027,Portola,0,0
4973021,Bayview Hunters Point,0,0
5336002,Bayview Hunters Point,0,0
7138062,Oceanview/Merced/Ingleside,0,0
6467015,Excelsior,0,0
7020026,Oceanview/Merced/Ingleside,0,0
6084017A,Excelsior,0,0
3548030,Mission,0,0
5666003,Bernal Heights,0,0
5320039,Bayview Hunters Point,0,0
0192003,Chinatown,1,1
3511033,Mission,1,1
5942001,Excelsior,0,0
3730008,South of Market,1,1
5739007,Bernal Heights,0,0
5892015,Excelsior,0,0
3732088,South of Market,0,0
5347046,Bayview Hunters Point,0,0
4991190,Bayview Hunters Point,0,0
6459031,Excelsior,0,0
3590039,Mission,0,0
6208044,Visitacion Valley,0,0
3753037,South of Market,0,0
4069025C,Potrero Hill,0,0
7331083,Lakeshore,1,1
5862A021,Portola,0,0
5319045,Bayview Hunters Point,0,0
4274011D,Mission,0,0
3613050,Mission,0,0
5321018,Bayview Hunters Point,0,0
5892011,Excelsior,0,0
7086034,Oceanview/Merced/Ingleside,0,0
7064A012,Outer Mission,0,0
3752107,South of Market,0,0
0143031,North Beach,1,1
6481032,Excelsior,0,0
4711195,Bayview Hunters Point,0,0
0183021,Nob Hill,0,0
7094024,Oceanview/Merced/Ingleside,0,0
6250016,Visitacion Valley,0,0
5992003,Portola,0,0
7066001G,Outer Mission,0,0
7009032,Oceanview/Merced/Ingleside,0,0
0132001I,North Beach,0,0
0323023,Tenderloin,1,1
0103032,North Beach,1,1
6130030,Portola,0,0
5826013,Bernal Heights,0,0
3617050,Mission,1,1
6252006,Visitacion Valley,0,0
5353006A,Bayview Hunters Point,0,0
5511003,Bernal Heights,0,0
3749514,Financial District/South Beach,0,0
5879021,Portola,0,0
5326005B,Bayview Hunters Point,0,0
6468A033,Excelsior,0,0
7381016,Lakeshore,0,0
4653014,Bayview Hunters Point,0,0
3640003A,Mission,0,0
5676019,Bernal Heights,0,0
5933039,Portola,0,0
4943040,Bayview Hunters Point,0,0
5338044,Bayview Hunters Point,0,0
5522044,Bernal Heights,0,0
5922013B,Portola,0,0
3549029,Mission,0,0
0320006,Tenderloin,1,1
7156065,Outer Mission,0,0
5864008,Portola,0,0
5513004,Bernal Heights,0,0
4148014,Mission,0,0
3596092,Mission,0,0
0128003A,Nob Hill,0,0
4938025,Bayview Hunters Point,0,0
6452004,Excelsior,0,0
6322008H,Visitacion Valley,0,0
5619012,Bernal Heights,0,0
3985034,Potrero Hill,0,0
5936042,Excelsior,0,0
6252028,Visitacion Valley,0,0
5067009A,Visitacion Valley,0,0
6355002,Excelsior,0,0
5883023,Portola,0,0
6804002,Outer Mission,0,0
5335C006A,Bayview Hunters Point,0,0
4720109,Bayview Hunters Point,0,0
3570001,Mission,0,0
6005025A,Excelsior,0,0
3596033,Mission,0,0
7085017,Oceanview/Merced/Ingleside,0,0
6259028,Visitacion Valley,0,0
5549058,Bernal Heights,0,0
6360033,Visitacion Valley,0,0
6167025,Visitacion Valley,0,0
5943032,Excelsior,0,0
5975003,Portola,0,0
3632001,Mission,0,0
5639003,Bernal Heights,0,0
5877029,Portola,0,0
0343012,Tenderloin,1,1
5870028,Excelsior,0,0
5835041,Bernal Heights,0,0
5926010,Portola,0,0
6958030,Outer Mission,0,0
5471011,Bayview Hunters Point,0,0
5708021,Bernal Heights,0,0
3752003,South of Market,0,0
6301015,Visitacion Valley,0,0
0735030,Western Addition,0,0
4008023,Potrero Hill,0,0
4001006,Potrero Hill,0,0
6043007,Portola,0,0
6005022A,Excelsior,0,0
7150020A,Oceanview/Merced/Ingleside,0,0
5922003,Portola,0,0
5663004,Bernal Heights,0,0
4336026,Mission,0,0
4167004,Potrero Hill,0,0
5987032,Portola,0,0
3776105,South of Market,0,0
5810025,Bernal Heights,0,0
3645011,Mission,1,1
6500013,Excelsior,0,0
5309002B,Bayview Hunters Point,0,0
5297028,Bayview Hunters Point,0,0
6598003,Noe Valley,0,0
5979016,Portola,0,0
7039A001,Outer Mission,0,0
5519027,Bernal Heights,0,0
3702035,South of Market,0,0
6511001B,Mission,0,0
6075012,Excelsior,0,0
5623014,Bernal Heights,0,0
7107028,Oceanview/Merced/Ingleside,0,0
5713014,Bernal Heights,0,0
7127026A,Oceanview/Merced/Ingleside,0,0
5334020,Bayview Hunters Point,0,0
4096102,Potrero Hill,0,0
3618024,Mission,0,0
3634023,Mission,0,0
5072031,Bayview Hunters Point,1,1
3640006,Mission,0,0
6053030,Portola,0,0
7006036,Oceanview/Merced/Ingleside,0,0
6006018A,Excelsior,0,0
6191012,Visitacion Valley,0,0
4098007,Potrero Hill,0,0
6087013,Excelsior,0,0
3727044,South of Market,1,1
6953051,Outer Mission,0,0
7155018,Outer Mission,0,0
4644002B,Bayview Hunters Point,0,0
6173021,Visitacion Valley,0,0
7055A023,Oceanview/Merced/Ingleside,0,0
5537022,Bernal Heights,0,0
4064023,Potrero Hill,0,0
6324018,Visitacion Valley,0,0
6522028,Mission,1,1
3756023,South of Market,1,1
3779108,South of Market,0,0
4711039,Bayview Hunters Point,0,0
6342002,Excelsior,0,0
7124015,Oceanview/Merced/Ingleside,0,0
0151118,Nob Hill,0,0
3703054,South of Market,0,0
6992016,Oceanview/Merced/Ingleside,0,0
6297033,Visitacion Valley,0,0
0749001A,Western Addition,0,0
5872008,Excelsior,0,0
6200011,Visitacion Valley,0,0
6971A035,Outer Mission,0,0
4100030B,Potrero Hill,0,0
5643027,Bernal Heights,0,0
6003032,Excelsior,0,0
3974009,Mission,0,0
7140001,Outer Mission,0,0
3574064,Mission,0,0
5661016,Bernal Heights,0,0
3642013,Mission,0,0
7015031,Oceanview/Merced/Ingleside,0,0
3552035,Mission,0,0
3204027,Outer Mission,0,0
0660065,Pacific Heights,0,0
6075013,Excelsior,0,0
0652019,Pacific Heights,1,1
5978016,Portola,0,0
6526001,Mission,1,1
3595005,Mission,0,0
7125009,Oceanview/Merced/Ingleside,0,0
4025010,Mission,0,0
6786081,Outer Mission,0,0
6303039,Visitacion Valley,0,0
5517021C,Bernal Heights,0,0
6795D030,Outer Mission,0,0
4013003,Mission,0,0
6081025,Excelsior,0,0
5450019,Portola,0,0
3726077,South of Market,0,0
5338031,Bayview Hunters Point,0,0
4094065,Potrero Hill,0,0
3509018,South of Market,0,0
7164010,Outer Mission,0,0
4103008,Potrero Hill,0,0
3607060,Mission,0,0
4024010,Mission,0,0
5977006,Portola,0,0
5615034,Bernal Heights,0,0
6339014,Excelsior,0,0
4711082,Bayview Hunters Point,0,0
3577012A,Mission,0,0
5702030,Bernal Heights,0,0
6003018,Excelsior,0,0
0126025,Nob Hill,1,1
6116001,Portola,0,0
6489063,Excelsior,0,0
0673009,Pacific Heights,0,0
7149015,Oceanview/Merced/Ingleside,0,0
0663002,Pacific Heights,1,1
5376035,Bayview Hunters Point,0,0
6243029,Visitacion Valley,0,0
6522029,Mission,1,1
6341005,Excelsior,0,0
5306036,Bayview Hunters Point,0,0
6170005A,Portola,0,0
7010018,Oceanview/Merced/Ingleside,0,0
6235041,Visitacion Valley,0,0
3609076,Mission,1,1
6194004,Visitacion Valley,0,0
7058004,Oceanview/Merced/Ingleside,0,0
5909031,Excelsior,0,0
3753082,South of Market,1,1
2044019,Inner Sunset,0,0
0121032,Russian Hill,0,0
5879016,Portola,0,0
0181032,Nob Hill,0,0
6520004,Mission,0,0
6320005,Visitacion Valley,0,0
6418051,Excelsior,0,0
5399007,Bayview Hunters Point,0,0
6208046,Visitacion Valley,0,0
7148022,Oceanview/Merced/Ingleside,0,0
6166010,Visitacion Valley,0,0
7110A018,Outer Mission,0,0
5307034,Bayview Hunters Point,0,0
7331014,Lakeshore,1,1
6297022,Visitacion Valley,0,0
4272022,Mission,0,0
6499003,Excelsior,0,0
3640045,Mission,0,0
7008006,Oceanview/Merced/Ingleside,0,0
6720032,Bernal Heights,0,0
7133016A,Oceanview/Merced/Ingleside,0,0
6355004B,Excelsior,0,0
4098025,Potrero Hill,0,0
0333017,Tenderloin,1,1
0310017,Financial District/South Beach,1,1
3641033,Mission,0,0
7088030,Oceanview/Merced/Ingleside,0,0
3587050,Mission,1,1
3570018,Mission,0,0
7142036,Outer Mission,0,0
4967010,Bayview Hunters Point,0,0
4089006,Mission,0,0
5612013,Bernal Heights,0,0
4262023,Mission,0,0
0157014,Nob Hill,0,0
5465007,Bayview Hunters Point,0,0
0177009,Chinatown,1,1
5980012,Portola,0,0
